Order ID,Order Date,Product Name,Category,Sub-Category,Sales Revenue,Quantity Sold,Profit,Customer Segment,Region,State/City
CA-2024-100847,2022-01-01,Executive Leather Chair,Furniture,Chairs,29058.3,1,3486.83,Home Office,South,"Florida, Miami"
CA-2024-101546,2022-01-01,5-Shelf Oak Bookcase,Furniture,Bookcases,300079.03,10,-45011.73,Corporate,West,"Oregon, Portland"
CA-2023-101631,2022-01-01,Label Printer XL,Technology,Machines,458418.13,5,22920.45,Consumer,East,"New York, New York City"
CA-2025-100141,2022-01-02,Heavy Duty D-Ring Binder,Office Supplies,Binders,4875.42,2,2193.69,Home Office,West,"California, Los Angeles"
CA-2023-101929,2022-01-02,Anti-Fatigue Floor Mat,Furniture,Furnishings,17133.69,5,3427.07,Consumer,West,"California, Los Angeles"
CA-2023-105462,2022-01-02,Plastic Storage Bins 6-Pack,Office Supplies,Storage,120384.03,10,0.0,Consumer,South,"Tennessee, Nashville"
CA-2022-105882,2022-01-02,Whiteboard Markers 12-Pack,Office Supplies,Art,5543.57,2,977.74,Consumer,East,"New York, New York City"
CA-2024-106319,2022-01-02,Leather Laptop Sleeve,Technology,Accessories,5427.37,1,904.7,Consumer,Central,"Texas, Austin"
CA-2024-100301,2022-01-03,iPhone 15 Pro,Technology,Phones,432762.0,10,-92735.07,Consumer,South,"Florida, Miami"
CA-2024-105528,2022-01-03,Plastic Storage Bins 6-Pack,Office Supplies,Storage,56275.66,5,8441.1,Corporate,East,"Massachusetts, Boston"
CA-2025-106271,2022-01-03,LED Desk Lamp,Furniture,Furnishings,38279.6,5,7655.92,Consumer,South,"Tennessee, Nashville"
CA-2022-106940,2022-01-03,Heavy Duty Shelving Unit,Office Supplies,Storage,11023.23,3,1653.36,Home Office,East,"District of Columbia, Washington"
CA-2022-102002,2022-01-04,Microwave Oven Stainless Steel,Office Supplies,Appliances,130583.9,4,23505.6,Consumer,East,"Massachusetts, Boston"
CA-2025-105393,2022-01-04,Drafting Table Adjustable,Furniture,Tables,39586.85,1,-1978.72,Corporate,West,"California, San Francisco"
CA-2023-107685,2022-01-04,Shipping Labels Laser,Office Supplies,Labels,766.92,1,307.1,Home Office,South,"Tennessee, Nashville"
CA-2025-107066,2022-01-05,Noise Cancelling Headphones,Technology,Accessories,6021.65,1,1504.79,Home Office,Central,"Texas, Austin"
CA-2022-104424,2022-01-06,Premium Copy Paper Letter,Office Supplies,Paper,2355.54,1,785.18,Corporate,Central,"Texas, Austin"
CA-2024-104806,2022-01-06,Brother Monochrome Copier,Technology,Copiers,262854.36,3,91998.86,Home Office,East,"Massachusetts, Boston"
CA-2025-105902,2022-01-06,Catalog Envelopes 100-Count,Office Supplies,Envelopes,4750.09,8,1187.73,Consumer,East,"New York, New York City"
CA-2025-101424,2022-01-07,Coffee Table Modern,Furniture,Tables,39770.28,1,-6628.38,Corporate,South,"Florida, Miami"
CA-2024-105129,2022-01-07,Security Tint Self-Seal Envelopes,Office Supplies,Envelopes,2028.52,6,-405.87,Consumer,Central,"Illinois, Chicago"
CA-2023-104612,2022-01-08,Wall Clock Brushed Nickel,Furniture,Furnishings,9418.01,5,-1345.43,Home Office,East,"Pennsylvania, Philadelphia"
CA-2022-105364,2022-01-08,Ergonomic Office Chair,Furniture,Chairs,56085.59,4,-14422.08,Consumer,East,"District of Columbia, Washington"
CA-2023-106693,2022-01-08,Keurig Coffee Maker,Office Supplies,Appliances,58879.37,2,5233.98,Consumer,West,"California, Los Angeles"
CA-2022-101138,2022-01-09,Coffee Table Modern,Furniture,Tables,250396.89,7,-12520.55,Corporate,West,"Oregon, Portland"
CA-2023-104581,2022-01-09,Samsung Galaxy S24,Technology,Phones,48409.75,1,-0.83,Home Office,Central,"Michigan, Detroit"
CA-2023-105656,2022-01-09,Anti-Fatigue Floor Mat,Furniture,Furnishings,47714.21,6,9542.51,Consumer,East,"District of Columbia, Washington"
CA-2024-105696,2022-01-09,5-Shelf Oak Bookcase,Furniture,Bookcases,208094.28,6,16647.31,Home Office,East,"Pennsylvania, Philadelphia"
CA-2022-105741,2022-01-09,Air Purifier HEPA,Office Supplies,Appliances,9657.88,1,1738.02,Consumer,South,"Tennessee, Nashville"
CA-2022-102179,2022-01-10,Heavy Duty Shelving Unit,Office Supplies,Storage,50695.57,4,7604.46,Corporate,West,"California, San Francisco"
CA-2024-106066,2022-01-10,Scanner & Document Digitizer,Technology,Machines,289688.26,6,-16093.7,Corporate,East,"District of Columbia, Washington"
CA-2024-102517,2022-01-11,HP LaserJet Pro Copier,Technology,Copiers,212147.17,1,74251.8,Corporate,South,"Tennessee, Nashville"
CA-2024-102662,2022-01-11,Shipping Labels Laser,Office Supplies,Labels,2647.7,3,1059.08,Consumer,East,"New York, New York City"
CA-2024-102862,2022-01-11,Corner Bookshelf White,Furniture,Bookcases,14403.82,1,1152.87,Corporate,Central,"Texas, Houston"
CA-2025-103352,2022-01-11,Zipper Binder Portfolio,Office Supplies,Binders,1402.7,5,300.46,Home Office,West,"California, San Francisco"
CA-2024-105846,2022-01-11,OnePlus 12,Technology,Phones,96009.42,2,14401.33,Consumer,South,"Tennessee, Nashville"
CA-2024-100793,2022-01-12,Compact Office Refrigerator,Office Supplies,Appliances,25783.95,2,4641.36,Consumer,East,"Pennsylvania, Philadelphia"
CA-2024-103949,2022-01-12,Heavy Duty Shredder,Technology,Machines,118451.79,1,5922.05,Corporate,West,"Oregon, Portland"
CA-2025-104576,2022-01-12,Folding Chair 4-Pack,Furniture,Chairs,73151.22,3,-7314.79,Corporate,East,"District of Columbia, Washington"
CA-2024-107187,2022-01-12,Colored Cardstock,Office Supplies,Paper,28106.29,9,11242.35,Consumer,Central,"Illinois, Chicago"
CA-2023-107458,2022-01-12,Rubber Bands Asst.,Office Supplies,Fasteners,1234.21,1,431.6,Consumer,South,"Georgia, Atlanta"
CA-2025-107539,2022-01-12,USB-C Hub,Technology,Accessories,20978.25,4,1310.57,Consumer,West,"Oregon, Portland"
CA-2022-101622,2022-01-13,3-Shelf Walnut Bookcase,Furniture,Bookcases,79746.4,2,6379.38,Corporate,Central,"Texas, Houston"
CA-2022-103143,2022-01-13,LED Desk Lamp,Furniture,Furnishings,3495.13,2,698.86,Consumer,South,"Tennessee, Nashville"
CA-2025-103534,2022-01-13,Plastic Storage Bins 6-Pack,Office Supplies,Storage,21073.7,3,3160.64,Consumer,West,"California, Los Angeles"
CA-2023-104248,2022-01-13,Push Pins Assorted,Office Supplies,Fasteners,1123.82,2,393.42,Consumer,West,"California, Los Angeles"
CA-2024-106008,2022-01-13,LED Desk Lamp,Furniture,Furnishings,13473.39,3,-8084.2,Corporate,South,"North Carolina, Charlotte"
CA-2025-107755,2022-01-13,Bubble Mailers Padded,Office Supplies,Envelopes,629.14,3,-126.16,Consumer,South,"North Carolina, Charlotte"
CA-2022-102158,2022-01-14,Compact Office Refrigerator,Office Supplies,Appliances,24520.69,2,4413.94,Corporate,South,"Tennessee, Nashville"
CA-2025-104591,2022-01-14,Nokia retro phone,Technology,Phones,135563.07,3,-29049.17,Consumer,Central,"Texas, Houston"
CA-2024-105371,2022-01-14,Metal Frame Bookshelf,Furniture,Bookcases,281108.55,7,-23150.36,Corporate,South,"North Carolina, Charlotte"
CA-2022-107466,2022-01-14,Noise Cancelling Headphones,Technology,Accessories,20521.75,3,5130.23,Corporate,Central,"Michigan, Detroit"
CA-2024-107869,2022-01-14,Conference Room Table,Furniture,Tables,116058.07,3,-5802.53,Corporate,South,"Tennessee, Nashville"
CA-2023-100300,2022-01-15,Paper Clips Jumbo,Office Supplies,Fasteners,3592.24,5,1257.45,Home Office,West,"California, Los Angeles"
CA-2022-103059,2022-01-15,Air Purifier HEPA,Office Supplies,Appliances,118486.65,4,-2962.27,Consumer,Central,"Illinois, Chicago"
CA-2022-104997,2022-01-15,Scanner & Document Digitizer,Technology,Machines,177879.79,3,-63528.2,Consumer,South,"Florida, Miami"
CA-2022-107569,2022-01-15,Conference Room Table,Furniture,Tables,26816.47,2,-6310.49,Corporate,East,"Pennsylvania, Philadelphia"
